userId,movieId,rating
10815242,108190,3
10815242,110102,3.5
10815242,108932,3
10815242,110127,2.5
10815242,110501,2.5
17729060,110286,2
17729060,108188,2
17729060,110127,2
17729060,110102,3
17729060,110130,1.5
4255187,110130,2.5
4255187,110553,3
4255187,110566,3
4255187,109191,3.5
4255187,110286,3
8613072,107209,3
8613072,110566,3
8613072,109673,3
8613072,108928,3.5
8613072,110102,4
10941605,109191,2.5
10941605,110566,2.5
10941605,110127,2.5
10941605,110102,3.5
10941605,110130,2
16308961,110127,3
16308961,109846,3
16308961,109853,3
16308961,110102,3.5
16308961,110130,2.5
15566807,110127,3.5
15566807,110553,3.5
15566807,110102,4.5
15566807,109191,3.5
15566807,110566,3
834793,109864,3
834793,110102,3.5
834793,108932,3.5
834793,109853,3
834793,110501,2.5
5026453,108932,4
5026453,110127,3
5026453,110501,3
5026453,110286,3
5026453,110553,3
11114297,109317,3
11114297,108190,3.5
11114297,110553,3
11114297,110611,2.5
11114297,109723,3
10702758,110130,1.5
10702758,109191,2.5
10702758,110102,3
10702758,108932,2.5
10702758,110127,2
7737341,108932,3.5
7737341,110102,4
7737341,110566,3
7737341,110127,3
7737341,110501,3
3276293,110553,2
3276293,108945,2.5
3276293,110501,2
3276293,110102,3
3276293,110127,2
3095671,110501,3
3095671,110553,2.5
3095671,110286,2.5
3095671,110127,2.5
3095671,108932,3.5
17288908,108928,3.5
17288908,110553,3
17288908,110501,3.5
17288908,110130,2.5
17288908,110127,3.5
8470403,109191,3
8470403,110553,3
8470403,110566,2.5
8470403,108928,3
8470403,110130,2.5
19890205,110127,2.5
19890205,110566,2.5
19890205,110286,2.5
19890205,108190,3.5
19890205,108932,3
17530434,110566,2.5
17530434,109191,3
17530434,110102,3.5
17530434,110501,3
17530434,108932,3.5
6270484,110130,2.5
6270484,109846,3
6270484,109864,3.5
6270484,110286,3
6270484,110127,3
516,110553,3
516,108188,3
516,110130,2.5
516,110566,3
516,110127,3
6166161,109191,3.5
6166161,110127,3
6166161,110102,4
6166161,108932,4
6166161,110130,2.5
2301347,110286,2.5
2301347,110130,2
2301347,110102,3.5
2301347,110127,2.5
2301347,108928,2.5
3790351,108928,3.5
3790351,109864,4
3790351,109846,3.5
3790351,110127,3
3790351,109853,3.5
8198943,110127,2.5
8198943,110553,2.5
8198943,110566,2.5
8198943,108190,3.5
8198943,110130,2
8295317,110678,3
8295317,109076,2.5
8295317,110553,3
8295317,110611,2.5
8295317,110501,3
383996,108188,2.5
383996,109183,2.5
383996,108689,3
383996,110553,2.5
383996,110611,2.5
6688345,110501,2.5
6688345,110130,2
6688345,110566,2.5
6688345,108932,3
6688345,110102,3.5
14881629,110553,3
14881629,110127,3
14881629,109864,3
14881629,110130,2.5
14881629,110286,3
18011290,110553,2.5
18011290,110286,2.5
18011290,110566,2.5
18011290,108928,2.5
18011290,109191,3
7097974,108190,3
7097974,110501,2.5
7097974,110102,3.5
7097974,110127,2.5
7097974,108932,3
3928234,109191,3
3928234,110130,2
3928234,110553,2.5
3928234,110566,2.5
3928234,110286,2.5
6742962,110102,4
6742962,109191,3
6742962,110127,3
6742962,110553,3
6742962,110501,3
3209781,107209,3
3209781,110127,3
3209781,108190,4
3209781,110286,3
3209781,108188,3
19233941,108188,3
19233941,110566,3
19233941,110130,2.5
19233941,110553,3
19233941,110102,4
1676483,108932,3.5
1676483,109569,2.5
1676483,110286,3
1676483,110553,3
1676483,110127,3
16619875,110102,3.5
16619875,110553,2.5
16619875,109191,3
16619875,108928,2.5
16619875,110501,2.5
903127,110286,3
903127,109191,3.5
903127,110501,3
903127,108928,3
903127,110566,3
17245525,109191,3.5
17245525,110553,3
17245525,110501,3
17245525,110566,3
17245525,110102,4
7569560,110553,2.5
7569560,110127,2.5
7569560,110501,3
7569560,110102,3.5
7569560,108928,3
909736,108188,2.5
909736,110566,2.5
909736,110286,2.5
909736,108243,2
909736,110130,2
19274378,110501,3
19274378,110102,4
19274378,108932,3.5
19274378,110566,3
19274378,110130,2.5
9307056,109853,4
9307056,110553,3.5
9307056,110130,3
9307056,109846,3.5
9307056,110286,3.5
8304123,110286,2.5
8304123,109191,2.5
8304123,108932,3
8304123,110553,2.5
8304123,110501,2.5
2295096,109191,3.5
2295096,109183,3
2295096,112370,3
2295096,110553,3
2295096,109397,3
4529326,110501,3
4529326,110566,2.5
4529326,108928,3
4529326,110553,2.5
4529326,110102,3.5
4950224,110501,3.5
4950224,110566,3
4950224,110127,3.5
4950224,110286,3.5
4950224,109191,3.5
6349372,108928,3
6349372,110130,2.5
6349372,110566,3
6349372,110553,3
6349372,110102,4
17437632,108928,3
17437632,110553,3
17437632,110566,2.5
17437632,109191,3
17437632,110501,3
9533258,110286,3
9533258,108932,3.5
9533258,108188,3
9533258,110501,3
9533258,108190,3.5
1319149,110553,3
1319149,109191,3.5
1319149,110127,3
1319149,110286,3
1319149,108928,3.5
9487482,110553,3
9487482,110286,3
9487482,110130,2.5
9487482,110566,2.5
9487482,108190,3.5
9296376,108932,3.5
9296376,110553,2.5
9296376,110127,2.5
9296376,110286,2.5
9296376,109191,3
16447343,108928,3
16447343,110553,3
16447343,110130,2
16447343,110286,3
16447343,109191,3
14809420,110501,2.5
14809420,110102,3.5
14809420,109846,2.5
14809420,109864,2.5
14809420,110286,2.5
14546031,110553,3
14546031,110130,2.5
14546031,110127,3
14546031,108932,3.5
14546031,110286,3
8710518,108932,3.5
8710518,109076,2.5
8710518,110501,3
8710518,110678,3
8710518,110611,2.5
2475718,110553,2.5
2475718,108932,3.5
2475718,108928,3
2475718,110102,3.5
2475718,109191,3
1567284,110566,2.5
1567284,110130,2
1567284,110553,2.5
1567284,110127,2.5
1567284,110501,3
8747579,110130,2
8747579,108932,3.5
